"V1","V2","V3"
-4.33071332191694,12.4102657479148,-26.1127916951154
42.6167478782325,30.2014045315987,14.6968133605484
-2.51889872410004,32.7497896220664,30.6240615409142
-15.7127920757787,56.9691331263888,46.384033598151
-11.9160963248215,-24.3423541652416,-40.9847415058553
24.1928012640876,21.1223659231072,-53.284776805172
21.2238055036728,-12.9780377331473,-22.7331169558959
-49.3432488905763,-15.7004465826527,-41.0245815391754
-10.8512273545877,1.51169016936666,5.16534137765216
7.65188106398352,-4.92727837081321,33.8674493369665
-47.02961459323,-51.4943468934316,-25.7927042407339
-0.0736714560971139,-0.0291366023791633,-72.193629824668
2.66917779312115,-53.4621964109707,37.9017704316069
34.7611958695028,-62.049580214602,22.6581064648676
-37.4368018116717,-28.426927744985,23.1909656130742
16.5403708441992,-25.5179320157058,-74.712231497015
6.09011246446468,-34.3181786229156,-9.60382088551535
-67.6817725583885,-10.7217852000669,0.335570980424781
